Node/Case;FX (kgf);FY (kgf);FZ (kgf);MX (kgfcm);MY (kgfcm);MZ (kgfcm)
 15/ 9 (C);417,246;-96,281;1686,332;13528,570;48658,475;10,923
 15/ 10 (C);583,321;-134,681;2362,294;18937,379;68550,304;15,329
 15/ 27 (C);500,931;-115,569;2023,191;16235,033;58267,758;13,096
 15/ 28 (C) (CQC);1041,318;-51,046;1951,361;25550,750;250978,418;37,416
 15/ 30 (C) (CQC);815,436;0,230;1906,618;37001,542;174886,603;48,991
 15/ 34 (C) (CQC);999,358;-41,386;1783,136;24197,144;246234,982;36,334
 15/ 36 (C) (CQC);773,476;9,890;1738,393;35647,937;170143,167;47,910
 17/ 9 (C);1150,332;0,324;3373,268;-66,580;148632,349;-0,434
 17/ 10 (C);1615,448;0,230;4719,835;-49,541;211133,520;-0,396
 17/ 27 (C);1378,974;0,453;4048,705;-92,374;177487,895;-0,582
 17/ 28 (C) (CQC);1629,082;63,628;3659,073;13199,170;305842,336;13,335
 17/ 30 (C) (CQC);1407,691;123,528;3596,035;25851,398;227142,507;12,237
 17/ 34 (C) (CQC);1515,472;63,532;3320,963;13218,306;291850,024;13,439
 17/ 36 (C) (CQC);1294,081;123,432;3257,925;25870,533;213150,196;12,341
 18/ 9 (C);386,466;96,635;1679,187;-13620,319;38729,490;-11,264
 18/ 10 (C);559,029;135,140;2356,823;-19036,504;60678,540;-15,509
 18/ 27 (C);458,623;116,004;2013,321;-16353,508;44630,458;-13,591
 18/ 28 (C) (CQC);1025,141;151,419;1934,467;-2979,035;245538,118;10,434
 18/ 30 (C) (CQC);751,100;203,072;1883,559;8551,360;153788,764;24,931
 18/ 34 (C) (CQC);991,630;141,713;1768,252;-1607,877;243510,098;11,635
 18/ 36 (C) (CQC);717,589;193,366;1717,344;9922,518;151760,744;26,132
 35/ 9 (C);-8,717;-1081,054;2492,452;155330,730;-1511,613;3,041
 35/ 10 (C);-11,038;-1502,462;3496,672;215285,244;-1937,381;4,819
 35/ 27 (C);-10,793;-1300,412;2988,874;187019,098;-1865,044;3,489
