;acceleration
0;0,0063
1;0,00364
2;0,00099
3;0,00428
4;0,00758
5;0,01087
6;0,00682
7;0,00277
8;-0,00128
9;0,00368
10;0,00864
11;0,0136
12;0,00727
13;0,00094
14;0,0042
15;0,00221
16;0,00021
17;0,00444
18;0,00867
19;0,0129
20;0,01713
21;-0,00343
22;-0,024
23;-0,00992
24;0,00416
25;0,00528
26;0,01653
27;0,02779
28;0,03904
29;0,02449
30;0,00995
31;0,00961
32;0,00926
33;0,00892
34;-0,00486
35;-0,01864
36;-0,03242
37;-0,03365
38;-0,05723
39;-0,04534
40;-0,03346
41;-0,03201
42;-0,03056
43;-0,02911
44;-0,02766
45;-0,04116
46;-0,05466
47;-0,06816
48;-0,08166
49;-0,06846
50;-0,05527
51;-0,04208
52;-0,04259
53;-0,04311
54;-0,02428
55;-0,00545
56;0,01338
57;0,03221
58;0,05104
59;0,06987
60;0,0887
61;0,04524
62;0,00179
63;-0,04167
64;-0,08513
65;-0,12858
66;-0,17204
67;-0,12908
68;-0,08613
69;-0,08902
70;-0,09192
71;-0,09482
72;-0,09324
73;-0,09166
74;-0,09478
75;-0,09789
76;-0,12902
77;-0,07652
78;-0,02401
79;0,02849
80;0,08099
81;0,1335
82;0,186
83;0,2385
84;0,21993
85;0,20135
86;0,18277
87;0,1642
88;0,14562
89;0,16143
90;0,17725
91;0,13215
92;0,08705
93;0,04196
94;-0,00314
95;-0,04824
96;-0,09334
97;-0,13843
98;-0,18353
99;-0,22863
100;-0,27372
101;-0,31882
102;-0,25024
103;-0,18166
104;-0,11309
105;-0,04451
106;0,02407
107;0,09265
108;0,16123
109;0,22981
110;0,29839
111;0,23197
112;0,16554
113;0,09912
114;0,0327
115;-0,03372
116;-0,10014
117;-0,16656
118;-0,23299
119;-0,29941
120;-0,00421
121;0,29099
122;0,2238
123;0,15662
124;0,08943
125;0,02224
126;-0,04495
127;0,01834
128;0,08163
129;0,14491
130;0,2082
131;0,18973
132;0,17125
133;0,13759
134;0,10393
135;0,07027
136;0,03661
137;0,00295
138;-0,03071
139;-0,00561
140;0,01948
141;0,04458
142;0,06468
143;0,08478
144;0,10487
145;0,05895
146;0,01303
147;-0,03289
148;-0,07882
149;-0,03556
150;0,00771
151;0,05097
152;0,01013
153;-0,03071
154;-0,07156
155;-0,1124
156;-0,15324
157;-0,11314
158;-0,07304
159;-0,03294
160;0,00715
161;-0,0635
162;-0,13415
163;-0,2048
164;-0,12482
165;-0,04485
166;0,03513
167;0,1151
168;0,19508
169;0,12301
170;0,05094
171;-0,02113
172;-0,0932
173;-0,02663
174;0,03995
175;0,10653
176;0,17311
177;0,11283
178;0,05255
179;-0,00772
180;0,01064
181;0,029
182;0,04737
183;0,06573
184;0,02021
185;-0,0253
186;-0,07081
187;-0,04107
188;-0,01133
189;0,00288
190;0,01709
191;0,03131
192;-0,02278
193;-0,07686
194;-0,13095
195;-0,18504
196;-0,14347
197;-0,1019
198;-0,06034
199;-0,01877
200;0,0228
201;-0,00996
202;-0,04272
203;-0,02147
204;-0,00021
205;0,02104
206;-0,01459
207;-0,05022
208;-0,08585
209;-0,12148
210;-0,15711
211;-0,19274
212;-0,22837
213;-0,18145
214;-0,13453
215;-0,08761
216;-0,04069
217;0,00623
218;0,05316
219;0,10008
220;0,147
221;0,09754
222;0,04808
223;-0,00138
224;0,05141
225;0,1042
226;0,15699
227;0,20979
228;0,26258
229;0,16996
230;0,07734
231;-0,01527
232;-0,10789
233;-0,20051
234;-0,06786
235;0,06479
236;0,01671
237;-0,03137
238;-0,07945
239;-0,12753
240;-0,17561
241;-0,22369
242;-0,27177
243;-0,15851
244;-0,04525
245;0,06802
246;0,18128
247;0,14464
248;0,108
249;0,07137
250;0,03473
251;0,09666
252;0,1586
253;0,22053
254;0,18296
255;0,14538
256;0,1078
257;0,07023
258;0,03265
259;0,06649
260;0,10033
261;0,13417
262;0,10337
